id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
bont1247,aust1307,bont1246,Bontok,FALSE,family,1.709.386,12.102.662,bnc,,,0,2,8,PH
book1241,aust1307,lowl1273,Bookan,FALSE,language,532.519,116.474,bnb,,,0,0,3,MY
book1242,,,Bookkeeping,FALSE,family,,,,,,1,381,0,
boon1242,afro1255,unun9873,Boon,FALSE,language,41.988,431.208,bnl,,,0,0,0,SO
boor1242,afro1255,milt1242,Boor,FALSE,language,10.0904,175.648,bvf,,,0,0,0,TD
bopa1235,left1242,iter1240,Bo (Papua New Guinea),FALSE,language,-432.114,141.45,bpw,,,0,0,3,PG
bora1262,,,Boran,FALSE,family,,,,,,0,2,2,
bora1263,bora1262,bora1262,Bora,FALSE,language,-2.000.259,-72.257.066,boa,,,0,0,2,BR CO PE
bora1271,afro1255,cent2424,Borana-Arsi-Guji Oromo,FALSE,language,105.676,37.882,gax,,,0,0,8,ET KE SO
bord1247,,,Border,FALSE,family,,,,,,7,15,6,
bord1248,chib1249,kuna1280,Border Kuna,FALSE,language,792.993,-771.664,kvn,,,0,0,0,CO PA
bore1247,ramu1234,wagg1235,Borei,FALSE,language,-408.697,144.715,gai,,,0,0,3,PG
borg1235,atla1278,fula1264,Borgu Fulfulde,FALSE,language,9.801,3.988,fue,,,0,0,5,BJ NG
bori1243,sino1245,east2361,Bori-Karko,FALSE,language,2.762.812,943.538,adi,,,0,0,5,BT CN IN
born1254,aust1307,sulu1242,Borneo Coast Bajaw,FALSE,family,,,,,,0,3,18,
boro1277,gong1255,gong1256,Boro (Ethiopia),FALSE,language,10.6596,35.345,bwo,,,0,0,4,ET
boro1279,nucl1709,koso1246,Borong,FALSE,language,-656.688,147.511,ksr,,,0,0,2,PG
boro1281,,,Bororoan,FALSE,family,,,,,,1,3,0,
boro1282,boro1281,boro1285,Bororo,FALSE,language,-166.029,-552.004,bor,,,0,0,0,BR
boro1283,atla1278,nato1234,Boro,FALSE,language,7.496.728,362.291,xxb,,,0,0,0,GH
boro1284,sino1245,bodo1279,Boroic,FALSE,family,,,,,,4,8,9,
boro1285,boro1281,boro1281,Bororo-Otuke,FALSE,family,,,,,,0,2,0,
boru1244,atla1278,sout2800,Bo-Rukul,FALSE,language,8.9352,890.506,mae,,,0,0,2,NG
boru1252,chib1249,west2641,Boruca,FALSE,language,888.093,-832.124,brn,,,0,0,0,CR
bosa1245,,,Bosavi,FALSE,family,,,,,,3,7,8,
bosa1246,bosa1245,bosa1245,Bosavi Watershed,FALSE,family,,,,,,1,5,4,
bose1237,aust1307,bose1238,Boselewa,FALSE,language,-944.763,150.693,bwf,,,0,0,0,PG
bose1238,aust1307,dobu1240,Boselewa-Galeya,FALSE,family,,,,,,0,2,6,
bosn1245,indo1319,east2821,Bosnian Standard,FALSE,dialect,43.859,17.046,bos,,,0,0,0,BA HR ME RS
bosn1247,ramu1234,wagg1235,Bosngun-Awar,FALSE,family,,,,,,0,2,2,
bosn1248,ramu1234,bosn1247,Bosngun,FALSE,language,-416.201,144.647,bqs,,,0,0,0,PG
bota1239,atla1278,east2731,Botatwe,FALSE,family,,,,,,6,10,14,
bote1238,indo1319,kusw1234,Bote,FALSE,language,277.074,84.348,bmj,,,0,0,0,NP
botl1242,nakh1245,botl1243,Botlikh,FALSE,language,42.665,46.22,bph,,,0,0,2,RU
botl1243,nakh1245,andi1254,Botlikh-Godoberi,FALSE,family,,,,,,0,2,4,
boto1242,aust1307,abel1234,Botolan Sambal,FALSE,language,152.315,120.164,sbl,,,0,0,2,PH
boto1250,aust1307,nort3230,Botovro-Vovo-Vao,FALSE,family,,,,,,0,2,0,
boun1243,atla1278,kula1277,Bouna Kulango,FALSE,language,846.011,-274.627,nku,,,0,0,3,BF CI GH
boun1245,nucl1709,melp1239,Bo-Ung,FALSE,language,-58.626,144.086,mux,,,0,0,2,PG
boun1246,skoo1245,lago1243,Bouni-Bobe,FALSE,language,-3.067.293,141.932.259,suo,,,0,0,2,PG
bouy1240,taik1256,nort3189,Bouyei,FALSE,language,248.484,106.187,pcc,,,0,0,5,CN VN
bowa1234,aust1307,koro1314,Manus Koro,FALSE,language,-203.429,14.714.267,kxr,,,0,0,2,PG
boza1238,atla1278,bomb1261,Bozaba,FALSE,dialect,207.295,186.784,bzo,,,0,0,0,CD
boze1240,atla1278,nort3215,Boze-Loro,FALSE,family,,,,,,0,2,4,
bozo1252,mand1469,soni1257,Bozo,FALSE,family,,,,,,2,4,4,
brag1240,nucl1708,brag1241,Bragat,FALSE,language,-348.707,142.495,aof,,,0,0,0,PG
