id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
achu1249,jiva1245,achu1248,Achuar,FALSE,dialect,,,,,,0,0,0,
acii1238,nucl1709,apal1256,Aci,FALSE,dialect,,,,,,0,0,0,
acod1234,nucl1709,east2809,Acodi,FALSE,dialect,,,,,,0,0,0,
acol1236,nilo1247,sout2831,Acoli,FALSE,language,357.738,325.147,ach,,,0,0,3,SS UG
acom1246,kere1287,west2632,Acoma Keres,FALSE,dialect,,,,,,0,0,0,
acro1239,nucl1710,jece1235,Acroá,FALSE,language,-1.220.318,-4.508.975,acs,,,0,0,0,BR
acro1240,indo1319,fiji1245,Acrolectal Fiji English,FALSE,dialect,,,,,,0,0,0,
acro1241,aust1307,indo1316,Acrolectal Colloquial Jakarta Indonesian,FALSE,dialect,,,,,,0,0,0,
adaa1238,atla1278,adan1247,Ada,FALSE,dialect,,,,,,0,0,0,
adab1235,book1242,book1242,Adabe,TRUE,language,-822.674,125.576,adb,,,0,0,0,ID TL
adae1234,indo1319,stan1288,Adaeseño Spanish,FALSE,dialect,,,,,,0,0,0,
adai1235,,,Adai,FALSE,language,316.314,-920.059,xad,,,0,0,0,US
adam1238,sign1238,deaf1237,Adamorobe Sign Language,FALSE,language,5.834,-151,ads,,,0,0,0,GH
adam1253,atla1278,adam1260,Adamawa Fulfulde,FALSE,language,8.140.326,13.077.338,fub,,,0,0,6,CM ER ET NG SD TD
adam1254,atla1278,unun9902,Adamawa Fali,FALSE,family,,,,,,0,2,6,
adam1257,atla1278,buak1234,Adamawa Bua,FALSE,family,,,,,,9,11,16,
adam1260,atla1278,fula1265,Adamawa-Bagirmi Fulfulde,FALSE,family,,,,,,0,2,6,
adan1247,atla1278,gada1257,Adangme,FALSE,language,5.9437,13.243,ada,,,0,0,6,GH
adan1248,atla1278,ewei1234,Adangbe,FALSE,language,650.546,727.155,adq,,,0,0,0,GH TG
adan1249,atla1278,ewee1241,Adan,FALSE,dialect,,,,,,0,0,0,
adan1250,aust1307,lund1271,Adang (Lundayeh),FALSE,dialect,,,,,,0,0,0,
adan1251,timo1261,adan1252,Adang,FALSE,language,-818.958,124.448,adn,,,0,0,1,ID
adan1252,timo1261,west2994,West Alor,FALSE,family,,,,,,0,3,6,
adap1234,book1242,book1242,Adap,TRUE,language,27.141,903.369,adp,,,0,0,0,BT
adar1242,afro1255,west2719,Adarawa,FALSE,dialect,,,,,,0,0,0,
adas1235,aust1307,iban1268,Adasen,FALSE,language,178.187,120.905,tiu,,,0,0,2,PH
addi1234,sign1238,ethi1238,Addis Ababa Ethiopian Sign Language,FALSE,dialect,,,,,,0,0,0,
addi1235,afro1255,amha1245,Addis Ababa,FALSE,dialect,,,,,,0,0,0,
adel1244,atla1278,basi1245,Adele,FALSE,language,816.975,619.185,ade,,,0,0,2,GH TG
aden1241,afro1255,taiz1242,Adeni,FALSE,dialect,,,,,,0,0,0,
aden1242,afro1255,jude1267,Aden,FALSE,dialect,,,,,,0,0,0,
ader1239,afro1255,haus1257,Aderawa,FALSE,dialect,,,,,,0,0,0,
adew1237,drav1251,mari1414,Adewada,FALSE,dialect,,,,,,0,0,0,
adga1237,aust1307,agus1235,Adgawan,FALSE,dialect,,,,,,0,0,0,
adha1237,aust1307,rade1240,Adham,FALSE,dialect,,,,,,0,0,0,
adha1238,indo1319,tati1243,Adhari,FALSE,language,40.05,48.06,,,,0,0,0,AZ
